Plantation year,Plot,canopy width 1 (cm),canopy width 2 (cm),crown area (m2),CD Chatting (m),Chatting AGB (kg),Chatting AGB (Mg/ha),Comley & McGuinness planted BGB            (kg),Comley & McGuinness planted BGB    (Mg/ha),Total tree (kg),Total tree (Mg/ha),Chatting AGC       (kg C),Chatting AGC (Mg C/ha),Comley & McGuinness planted BGC           (kg C),Comley & McGuinness planted BGC    (Mg C/ha),Total tree (kg C),Total tree (Mg C/ha),plot size (m2)
2017,1_new,152,111,1.358,1.32,2.848,1.133,2.628,1.046,5.476,2.179,1.367,0.544,1.025,0.408,2.392,0.952,25.133
2017,2_new,170,90,1.327,1.30,2.779,1.106,2.565,1.020,5.343,2.126,1.334,0.531,1.000,0.398,2.334,0.929,25.133
2017,3_new,137,123,1.327,1.30,2.779,1.106,2.565,1.020,5.343,2.126,1.334,0.531,1.000,0.398,2.334,0.929,25.133
2017,5_new,162,94,1.287,1.28,2.688,1.070,2.481,0.987,5.169,2.057,1.290,0.513,0.968,0.385,2.258,0.898,25.133
2017,5_new,131,125,1.287,1.28,2.688,1.070,2.481,0.987,5.169,2.057,1.290,0.513,0.968,0.385,2.258,0.898,25.133
2017,3_new,151,104,1.277,1.28,2.666,1.061,2.460,0.979,5.126,2.040,1.279,0.509,0.960,0.382,2.239,0.891,25.133
2017,5_new,142,112,1.267,1.27,2.643,1.052,2.440,0.971,5.083,2.022,1.269,0.505,0.951,0.379,2.220,0.883,25.133
2017,5_new,136,117,1.257,1.27,2.621,1.043,2.419,0.963,5.040,2.005,1.258,0.501,0.943,0.375,2.202,0.876,25.133
2017,1_new,187,62,1.217,1.25,2.533,1.008,2.338,0.930,4.871,1.938,1.216,0.484,0.912,0.363,2.128,0.847,25.133
2017,5_new,132,117,1.217,1.25,2.533,1.008,2.338,0.930,4.871,1.938,1.216,0.484,0.912,0.363,2.128,0.847,25.133
